idLugar	FLAG_alandalus	nisba	major_toponym	nombre	nombre_castellano	lat	lng	idLugarALT
LUG00181	1	البلوطي		فحص البلوط	Los Pedroches	38.4705231	-4.8105955	
LUG00094	1	الطلبيري		طلبيرة	Talavera	39.966667	-4.833333	
LUG00408	1	الببشتري		ببشتر	Bobastro	36.877778	-4.844722	
LUG00548	1	الخشيني		خشين	Ojén?	36.5654302	-4.8553046	
LUG00946	1	البجاني		بجانة [قرية من عمل الزهراء]	*Bağğāna	37.886	-4.867639	
LUG00453	1	الزهرائي		الزهراء (مدينة)	Medina Azahara	37.886	-4.867639	
LUG01413	0	الغرري		تاز غررة	Tazghadra	34.62	-4.87	
LUG00096	1	الاسطبي		اسطبة	Estepa	37.291667	-4.879167	
LUG01284	1	الأصطبي		أصطبة	Estepa	37.291667	-4.879167	
LUG01240	1	المربلي		مربلة	Marbella	36.510071	-4.8824474	
LUG00949	1	الإطابي		إطابة/طابة [عمل تاكرنا]	Teba	36.983253	-4.918404	
LUG00016	0	الفاسي		فاس	Fez	34.044167	-5.001944	
LUG00990	1	NA		المدور الأدنى	Almodóvar del Río	37.811047	-5.019371	
LUG00118	1	المدوري		سهلة المدور	Llano de Almodóvar	37.811047	-5.019371	
LUG00226	1	البقري		البقر (عقبة)	El Vacar (desfiladero)	38.18772	-5.020406	
LUG00584	1	NA		منت ميور_حصن	Montemayor	36.522222	-5.044167	
LUG00155	1	NA		بلاط أبي العجنس (قرية)	Balāṭ Abī l-ʿAğannas (alquería)	37.541111	-5.079167	
LUG00433	1	NA		مقبرة المقصلة (أستجة)	Cementerio de al-Muqaṣṣala	37.541111	-5.079167	
LUG00060	1	الأستجي		أستجة	Écija	37.541111	-5.079167	
LUG00015	1	الأشوني		أشونة	Osuna	37.237222	-5.103056	
LUG01260	1	الاستبي		استبة	Estepona	36.42985	-5.149141	
LUG01241	1	الإستبوني		إستبونة	Estepona	36.42985	-5.149141	
LUG01250	1	الإسطبوني		إسطبونة	Estepona	36.42985	-5.149141	
LUG00206	1	الرندي		رندة	Ronda	36.742516	-5.159355	
LUG00494	1	الغافقييني		الغافقيين (قرية)	Belalcázar ?	38.566667	-5.166667	
LUG00757	1	الغافقي		غافق (مدينة)	Belalcázar	38.577061	-5.167745	
LUG00589	1	الفرنجولشي		فرنجولش (حصن)	Hornachuelos (ḥiṣn)	37.832254	-5.248245	
LUG00902	0	NA		عدوة سبتة	Ceuta	35.888333	-5.315556	
LUG00023	0	السبتي		سبتة	Ceuta	35.888333	-5.315556	
LUG01219	1	NA		جبل الفتح	Gibraltar	36.140751	-5.353585	
LUG01376	1	البنيونشي		بنيونش (قرية)	Belyounech	35.91268	-5.401437	
LUG00402	1	القسطلي		قسطلة	Castellar de la Frontera	36.306798	-5.447571	
LUG01461	1	القصري		القصر	Castellar de la Frontera	36.306798	-5.447571	
LUG00868	1	المتيطي		متيطة	* Mattīṭa	36.133333	-5.45	
LUG00069	1	الموروري		مورور	Morón de la Frontera	37.122222	-5.451667	
LUG00077	1	الخضرائي		الجزيرة الخضراء	Algeciras	36.1329769	-5.453909	
LUG00250	1	المرشاني		مرشانة	Marchena	37.5	-5.5	
LUG01166	0	الزرهوني		زرهون	Zerhoun	34.05	-5.516667	
LUG00985	1	اللوري		لورة	Lora	37.657589	-5.529873	
LUG00870	0	المكناسي		مكناسة / مكناسة الزيتون	Mequinez	33.895	-5.554722	
LUG01137	0	NA		معدن عوام	Maʿdin ʿAwām	33.166667	-5.566667	
LUG00629	1	الطريفي		طريف (جزيرة)	Tarifa	36.016667	-5.6	
LUG00506	1	البيراني		بيران (حصن)	Bairén	36.0705552	-5.6012426	
LUG00378	1	الفريشي		فريش	Constantina del Hierro	37.953136	-5.6168834	
LUG00125	1	القرموني		قرمونة	Carmona	37.471111	-5.642222	
LUG00737	0	الفازازي		جبل فازاز	Montaña de Fezaz	32.939444	-5.6675	
LUG01324	1	الخولاني		خولان (قلعة)	Alcalá de los Gazules	36.461881	-5.723889	
LUG01002	1	السموري		سمورة	Zamora	41.507326	-5.745313	
LUG00247	0	الطنجي		طنجة	Tánger	35.766667	-5.8	
LUG00274	1	الأركشي		أركش	Arcos	36.754711	-5.809829	
LUG00487	1	القلساني		قلسانة	Casinas (Arcos de la Frontera)	36.754711	-5.809829	
LUG00560	1	القطنياني		قطنيان	Cantillana ?	37.608877	-5.824445	
LUG00577	1	NA		قلعة جابر	Alcalá de Guadaíra	37.333333	-5.85	
LUG00825	1	الباطري		باطرية	Paterna de Rivera?	36.526227	-5.863631	
LUG01364	0	NA		بصرة المغرب	Basra	34.805278	-5.869722	
LUG00176	1	الترجالي		ترجاله / ترجالة	Trujillo	39.465278	-5.878889	
LUG00671	0	NA		قصر عبد الكريم	Alcazarquivir	34.998889	-5.902778	
LUG00105	1	البحيري		البحيرة	Al-Buḥayra	36.457671	-5.927273	
LUG00038	1	السليمي		مدينة ابن السليم	Medina Sidonia	36.457671	-5.927273	
LUG00008	1	الشذوني		شذونة	Sidonia	36.457671	-5.927273	
LUG01436	1	NA		كدية الخيل (إشبيلية)	* Kudyat al-Ḫayl	37.383333	-5.983333	إشبيلية
LUG00020	1	الإشبيلي		إشبيلية	Sevilla	37.383333	-5.983333	إشبيلية
LUG01427	1	القرموني		باب قرمونة (إشبيلية)	Puerta de Carmona (Sevilla)	37.383333	-5.983333	إشبيلية
LUG00193	1	المقريني		مقرينة	Macarena	37.6675364	-5.9976206	
LUG01326	1	الطرياني		طريانة (مدينة) / إطريانة	Triana	37.383581	-6.0052	
LUG01115	1	الالغابي		الغابة (قرية)	La Algaba	37.461532	-6.011246	
LUG00526	1	الشرفي		الشرف / شرف إشبيلية	Aljarafe	37.359722	-6.027778	إشبيلية
LUG00269	0	الأصيلي		أصيلة	Arcila	35.4666667	-6.0333333	
LUG00340	1	NA		شنت بوس	Santiponce ?	37.438611	-6.038333	
LUG01122	1	الأسترقي		أسترقة	Astorga	42.4580465	-6.0557539	
LUG00186	1	القبطلي		قبطل (جزيرة)	Isla Menor	37.1038889	-6.0636111	
LUG01382	1	الشبربري		شبربر / شبر (قرية)	Sobuerva	37.344444	-6.065278	
LUG00431	1	النبريشي		نبريشة (قرية)	Lebrija	36.919444	-6.078056	
LUG01493	1	النبريشي		نبريشة	Lebrija	36.919444	-6.078056	
LUG00937	1	الدجي		دُجّة [قرية بشريش]	Cortijo de Ducha	36.7655841	-6.082778	
LUG00039	1	الشريشي		شريش	Jerez	36.7	-6.116667	
LUG00775	1	المنتانجشي		منتانجش	Montánchez	39.22802	-6.1456229	
LUG00602	1	القبتوري		كبتور/ قبتور (جزيرة)	Isla Mayor	37.132466	-6.164808	
LUG00151	1	NA		حصن القصر	Aznalcázar	37.303969	-6.250892	
LUG00245	1	القادسي		قادس	Cádiz	36.5270612	-6.2885962	
LUG00130	1	الماردي		ماردة	Mérida	38.915833	-6.333333	
LUG00733	0	التادلاوي		تادلا	Tadla	32.339444	-6.360833	
LUG00365	1	الروطي		روطة	Rota	36.62629	-6.3629810000000004	
LUG00944	1	NA		طلياطة (حصن)	Tejada	37.448426	-6.365446	
LUG00808	0	NA		أغمات وريكة	Ourika	30.716667	-6.533333	
LUG01379	1	NA		حجر أبي خالد	Alájar	37.874614	-6.66506	
LUG00073	1	اللبلي		لبلة	Niebla	37.361439	-6.67787	
LUG00457	1	الوشتري		وشتر / وشتد (حصن)	Waštar / Waštad (hiṣn) (Niebla)	37.361439	-6.67787	
LUG01444	1	المنستيري		المنستير	Almonaster la Real	37.873272	-6.78613	
LUG00150	0	السلاوي		سلا	Salé	34.033333	-6.8	
LUG00731	0	الرباطي		رباط	Rabat	34.020882	-6.84165	
LUG00481	1	NA		قنطرة السيف	Alcántara (Cáceres)	39.718611	-6.883889	
LUG00403	1	الزلاقي		الزلاقة	Zalaca/Sagrajas	38.923056	-6.901389	
LUG01081	1	الأونبي		أونبة	Huelva	37.261421	-6.9447224	
LUG00799	1	البرجاني		برجانة [بغرب الأندلس]	Purchena (Chucena, Huelva)	37.261421	-6.9447224	
LUG00512	1	البرجلاني		برجلانة (قرية)	Dehesa de Purchena (Huelva)	37.261421	-6.9447224	
LUG00682	1	الشلطيشي		شلطيش	Saltés	37.1977002	-6.9504378000000004	
LUG01300	1	الأروشي		أروش	Aroche	37.943717	-6.953654	
LUG01489	1	NA		مقبرة غانم (بطليوس)	Cementerio de Gānim (Badajoz)	38.88	-6.97	
LUG00092	1	البطليوسي		بطليوس	Badajoz	38.88	-6.97	
LUG00797	1	الألبشي		ألبش	Elvas	38.8802788	-7.1636637	
LUG00790	1	اليلبشي		يلبش	Elvas	38.8802788	-7.1636637	
LUG01366	1	NA		قلنه_حصن [من حصون بطليوس]	Terena ?	38.620833	-7.411389	
LUG01109	1	الموري		مورة (حصن)	Moura (Portugal)	38.1406915	-7.4498183	
LUG00358	1	القسطلي		قسطلة الغرب	Cacela Velha	37.156944	-7.546389	
LUG00310	1	القسطلي		قسطلة دراج	Qasṭallat Darrāğ	37.156944	-7.546389	
LUG00691	1	الشربي		شربة (بغربي الأندلس)	Serpa	37.933333	-7.583333	
LUG00627	0	التامسناوي		تامسنا	Tamesna	33	-7.616667	
LUG00748	0	الأنفاوي		أنفا	Anfa	33.588333	-7.641944	
LUG00521	1	الطبيري		طبيرة	Tavira	37.1335906	-7.6430019	
LUG00849	1	المارتلي		مارتلة / ميرتلة / مرتلة	Mértola	37.6415148	-7.6606665	
LUG00027	0	الأغماتي		أغمات	Agmat	31.4225	-7.801111	
